               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,            0.037898,            0.012603,            0.017378,             0.91826,             0.93478,             0.97039,             0.46219,            0.027596,           0.0051825,           0.0080292,           0.0078616,           0.0078616,           0.0078616
                 110,              0.0329,            0.010971,            0.019425,             0.93056,             0.96114,             0.99237,             0.55634,            0.018655,           0.0044632,           0.0048921,           0.0078418,           0.0078418,           0.0078418
                 111,            0.033229,            0.010323,            0.017195,             0.93113,             0.93478,              0.9477,             0.73562,            0.019156,           0.0045618,           0.0078233,            0.007822,            0.007822,            0.007822
                 112,            0.032986,            0.010332,            0.016576,             0.93113,             0.93478,              0.9477,             0.73562,            0.019156,           0.0045618,           0.0078233,           0.0078022,           0.0078022,           0.0078022
                 113,            0.031962,           0.0095422,            0.021686,             0.93746,             0.95107,             0.96963,             0.54888,            0.020358,           0.0042648,           0.0072932,           0.0077824,           0.0077824,           0.0077824
                 114,            0.029534,           0.0092823,            0.014643,             0.67334,             0.93478,             0.75752,             0.37476,            0.025529,           0.0043311,           0.0072705,           0.0077626,           0.0077626,           0.0077626
                 115,            0.041732,            0.009197,            0.022879,             0.95879,             0.95921,               0.995,             0.59292,            0.023079,           0.0042236,           0.0056176,           0.0077428,           0.0077428,           0.0077428
                 116,            0.035103,           0.0099926,            0.016715,             0.95879,             0.95921,               0.995,             0.59292,            0.023079,           0.0042236,           0.0056176,            0.007723,            0.007723,            0.007723
                 117,            0.032333,            0.012028,            0.015018,             0.94383,             0.95652,             0.98716,             0.68727,            0.024718,           0.0040881,           0.0051025,           0.0077032,           0.0077032,           0.0077032
                 118,            0.026146,           0.0096241,            0.015278,             0.99073,             0.97197,             0.99417,             0.63978,            0.018059,           0.0040618,           0.0041654,           0.0076834,           0.0076834,           0.0076834
                 119,            0.033722,            0.011001,            0.020139,             0.97373,             0.97059,             0.99361,             0.59637,            0.028789,           0.0041192,           0.0041139,           0.0076636,           0.0076636,           0.0076636
                 120,            0.036546,            0.010846,            0.017524,             0.97373,             0.97059,             0.99361,             0.59637,            0.028789,           0.0041192,           0.0041139,           0.0076438,           0.0076438,           0.0076438
                 121,            0.032727,           0.0093833,            0.015571,             0.96574,             0.97679,               0.995,             0.65249,            0.024788,           0.0040043,            0.004366,            0.007624,            0.007624,            0.007624
